|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYEY | YEY  | Amos/Magny Airport                                                                                                | Amos                                      | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFA | YFA  | Fort Albany Airport                                                                                               | Fort Albany First Nation                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFB | YFB  | Iqaluit Airport                                                                                                   | Iqaluit                                   | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFC | YFC  | Fredericton International Airport (Greater Fredericton International Airport)                                     | Fredericton                               | NB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFD | YFD  | Brantford Airport                                                                                                 | Brantford                                 | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFE | YFE  | Forestville Airport                                                                                               | Forestville                               | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFH | YFH  | Fort Hope Airport                                                                                                 | Eabametoong First Nation                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFI | YFI  | Fort MacKay/Firebag Aerodrome                                                                                     | Fort McKay                                | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFJ |      | Mont Tremblant International Airport (La Mazaca/Mont Tremblant International Airport)                             | Mont-Tremblant                            | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFO | YFO  | Flin Flon Airport                                                                                                 | Flin Flon                                 | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFR | YFR  | Fort Resolution Airport                                                                                           | Fort Resolution                           | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFS | YFS  | Fort Simpson Airport                                                                                              | Fort Simpson                              | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYFT | YMN  | Makkovik Airport                                                                                                  | Makkovik                                  | NL                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYG2 |      | Parkhill (Yellow Gold) Aerodrome                                                                                  | Parkhill                                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGB | YGB  | Texada/Gillies Bay Airport                                                                                        | Texada Island                             | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGD | YGD  | Goderich Airport                                                                                                  | Goderich                                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGE | YGE  | Golden Airport                                                                                                    | Golden                                    | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGH | YGH  | Fort Good Hope Airport                                                                                            | Fort Good Hope                            | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGK | YGK  | Kingston Norman Rogers Airport (Kingston Airport)                                                                 | Kingston                                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGL | YGL  | La Grande Rivière Airport                                                                                         | Radisson                                  | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGM | YGM  | Gimli Industrial Park Airport                                                                                     | Gimli                                     | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGO | YGO  | Gods Lake Narrows Airport                                                                                         | Gods Lake Narrows                         | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGP | YGP  | Michel-Pouliot Gaspé Airport (Gaspé (Michel-Pouliot) Airport)                                                     | Gaspé                                     | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGQ | YGQ  | Geraldton (Greenstone Regional) Airport                                                                           | Greenstone                                | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGR | YGR  | Îles-de-la-Madeleine Airport                                                                                      | Magdalen Islands                          | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGT | YGT  | Igloolik Airport                                                                                                  | Igloolik                                  | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGV | YGV  | Havre Saint-Pierre Airport                                                                                        | Havre-Saint-Pierre                        | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGW | YGW  | Kuujjuarapik Airport                                                                                              | Kuujjuarapik                              | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGX | YGX  | Gillam Airport                                                                                                    | Gillam                                    | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYGZ | YGZ  | Grise Fiord Airport                                                                                               | Grise Fiord                               | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHA | YQC  | Quaqtaq Airport                                                                                                   | Quaqtaq                                   | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHB | YHB  | Hudson Bay Airport                                                                                                | Hudson Bay                                | SK                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHC | CXH  | Vancouver Harbour Flight Centre (Vancouver Harbour Water Airport, Vancouver Coal Harbour Seaplane Base)           | Vancouver                                 | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHD | YHD  | Dryden Regional Airport                                                                                           | Dryden                                    | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHE | YHE  | Hope Aerodrome                                                                                                    | Hope                                      | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHF | YHF  | Hearst (René Fontaine) Municipal Airport                                                                          | Hearst                                    | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHH | YNS  | Nemiscau Airport                                                                                                  | Nemaska                                   | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHI | YHI  | Ulukhaktok/Holman Airport                                                                                         | Ulukhaktok                                | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHK | YHK  | Gjoa Haven Airport                                                                                                | Gjoa Haven                                | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHM | YHM  | John C. Munro Hamilton International Airport (Hamilton Airport)                                                   | Hamilton                                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHN | YHN  | Hornepayne Municipal Airport                                                                                      | Hornepayne                                | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHO | YHO  | Hopedale Airport                                                                                                  | Hopedale                                  | NL                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHP | YHP  | Poplar Hill Airport                                                                                               | Poplar Hill                               | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHR | YHR  | Chevery Airport                                                                                                   | Chevery                                   | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHS |      | Hanover Saugeen Airport                                                                                           | Hanover                                   | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHT | YHT  | Haines Junction Airport                                                                                           | Haines Junction                           | YT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHU | YHU  | Montreal Saint-Hubert Longueuil Airport                                                                           | Longueuil                                 | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHY | YHY  | Hay River/Merlyn Carter Airport                                                                                   | Hay River                                 | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYHZ | YHZ  | Halifax Stanfield International Airport                                                                           | Halifax                                   | NS                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYIB | YIB  | Atikokan Municipal Airport                                                                                        | Atikokan                                  | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYID | YDG  | Digby/Annapolis Regional Airport                                                                                  | Digby                                     | NS                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYIF | YIF  | Saint-Augustin Airport                                                                                            | Saint-Augustin                            | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYIK | YIK  | Ivujivik Airport                                                                                                  | Ivujivik                                  | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYIO | YIO  | Pond Inlet Airport                                                                                                | Pond Inlet                                | NU                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYIV | YIV  | Island Lake Airport                                                                                               | Island Lake                               | MB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYJA |      | Jasper Airport                                                                                                    | Jasper                                    | AB                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYJF | YJF  | Fort Liard Airport                                                                                                | Fort Liard                                | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYJM | YJM  | Fort St. James (Perison) Airport                                                                                  | Fort St. James                            | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYJN | YJN  | Saint-Jean Airport (Saint-Jean-sur-Richelieu Airport)                                                             | Saint-Jean-sur-Richelieu                  | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYJP |      | Fort Providence Airport                                                                                           | Fort Providence                           | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYJQ | ZEL  | Denny Island Aerodrome                                                                                            | Bella Bella                               | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYJT | YJT  | Stephenville International Airport                                                                                | Stephenville                              | NL                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKA | YKA  | Kamloops Airport                                                                                                  | Kamloops                                  | BC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKC |      | Collins Bay Airport                                                                                               | Collins Bay                               | SK                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKD | LAK  | Aklavik/Freddie Carmichael Airport                                                                                | Aklavik                                   | NT                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKF | YKF  | Region of Waterloo International Airport (Kitchener/Waterloo Regional Airport)                                    | Regional Municipality of Waterloo         | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKG |      | Kangiqsujuaq (Wakeham Bay) Airport                                                                                | Kangiqsujuaq                              | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKJ | YKJ  | Key Lake Airport                                                                                                  | Key Lake mine                             | SK                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKL | YKL  | Schefferville Airport                                                                                             | Schefferville                             | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKM | YKD  | Kincardine Municipal Airport                                                                                      | Kincardine                                | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKO | AKV  | Akulivik Airport                                                                                                  | Akulivik                                  | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKP | YOG  | Ogoki Post Airport                                                                                                | Marten Falls First Nation                 | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKQ | YKQ  | Waskaganish Airport                                                                                               | Waskaganish                               | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKX | YKX  | Kirkland Lake Airport                                                                                             | Kirkland Lake                             | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKY | YKY  | Kindersley Regional Airport                                                                                       | Kindersley                                | SK                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYKZ | YKZ  | Buttonville Municipal Airport (Toronto/Buttonville Municipal Airport)                                             | Buttonville                               | ON                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYLA | YPJ  | Aupaluk Airport                                                                                                   | Aupaluk                                   | QC                    |
|------|------|-------------------------------------------------------------------------------------------------------------------|-------------------------------------------|-----------------------|
| CYLB |      | Lac La Biche Airport                                                                                              | Lac La Biche                              | AB                    |
